"Index Name","Event Date","Scrip Name","Description"
"S&P CNX 500 Equity Index","08/09/1999","Rico Auto Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/09/1999","Silverline Technologies Ltd. -Sus","Inclusion into Index"
"S&P CNX 500 Equity Index","08/09/1999","Sterling Holiday Resorts (India) Ltd.-Delisted","Exclusion from Index"
"S&P CNX 500 Equity Index","08/09/1999","TVS Electronics Ltd. - Merge","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","Asian Coffee Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Bharti Telecom Ltd.-Suspended","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Ciba Speciality Chemicals (India) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","DSQ Software Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","FGP Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Gulf Oil India Ltd.-Old","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","IndusInd Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","Industrial Oxygen Co. Ltd. -Sus","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Mardia Chemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","PSI Data Systems Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","Pharmacia Healthcare Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","Prime Securities Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Rain Calcining Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","08/12/1999","SOL Pharmaceuticals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Synthetics & Chemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","08/12/1999","Unichem Laboratories Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","12/01/2000","Bayer Cropscience India Ltd. -Erstwhile","Inclusion into Index"
"S&P CNX 500 Equity Index","12/01/2000","Container Corporation of India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","12/01/2000","Punjab Wireless Systems Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","12/01/2000","Wockhardt Ltd. (old)","Exclusion from Index"
"S&P CNX 500 Equity Index","16/02/2000","Krebs Biochemicals Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","16/02/2000","Raasi Cement Ltd.- Sus","Exclusion from Index"
"S&P CNX 500 Equity Index","16/02/2000","Royal Cushion Vinyl Products Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","16/02/2000","Shasun Chemicals & Drugs Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","10/05/2000","Saregama India Ltd","Inclusion into Index"
"S&P CNX 500 Equity Index","10/05/2000","TVS Suzuki Ltd. (old)","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Core Healthcare Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Crest Animation Studios Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","24/05/2000","Electrex (India) Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Flextronics Software Systems Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","24/05/2000","ISMT Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Ispat Alloys Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Modi Xerox Ltd.- Sus","Exclusion from Index"
"S&P CNX 500 Equity Index","24/05/2000","Polaris Software Lab Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","24/05/2000","Premier Ltd.","Exclusion from Index"
