Index Name,Event Date,Scrip Name,Description
CNX 100,01-03-2004,Bosch Ltd.,Inclusion into Index
CNX 100,01-03-2004,Cadila Healthcare Ltd.,Inclusion into Index
CNX 100,01-03-2004,Canara Bank,Inclusion into Index
CNX 100,01-03-2004,Escorts Ltd.,Exclusion from Index
CNX 100,01-03-2004,Finolex Cables Ltd.,Exclusion from Index
CNX 100,01-03-2004,GTL Ltd.,Exclusion from Index
CNX 100,01-03-2004,Gillette India Ltd.,Inclusion into Index
CNX 100,01-03-2004,GlaxoSmithkline Consumer Healthcare Ltd.,Exclusion from Index
CNX 100,01-03-2004,Himachal Futuristic Communications Ltd.,Exclusion from Index
CNX 100,01-03-2004,IBP Co. Ltd.,Inclusion into Index
CNX 100,01-03-2004,India Cements Ltd.,Exclusion from Index
CNX 100,01-03-2004,Indian Overseas Bank ,Inclusion into Index
CNX 100,01-03-2004,JSW Steel Ltd.,Inclusion into Index
CNX 100,01-03-2004,Kochi Refineries Ltd.,Inclusion into Index
CNX 100,01-03-2004,Mangalore Refinery & Petrochemicals Ltd.,Inclusion into Index
CNX 100,01-03-2004,Maruti Suzuki India Ltd.,Inclusion into Index
CNX 100,01-03-2004,Merck Ltd.,Exclusion from Index
CNX 100,01-03-2004,Morepen Laboratories Ltd.,Exclusion from Index
CNX 100,01-03-2004,NIIT Ltd.-Sus,Exclusion from Index
CNX 100,01-03-2004,Rolta India Ltd.,Exclusion from Index
CNX 100,01-03-2004,Syndicate Bank,Inclusion into Index
CNX 100,01-03-2004,Thomas Cook (India) Ltd.,Exclusion from Index
CNX 100,01-03-2004,Titan Industries Ltd.,Exclusion from Index
CNX 100,12-04-2004,Digital Globalsoft Ltd.,Exclusion from Index
CNX 100,12-04-2004,Oil & Natural Gas Corporation Ltd.,Inclusion into Index
CNX 100,24-05-2004,Larsen & Toubro Ltd.-Sus,Exclusion from Index
CNX 100,24-05-2004,Vijaya Bank,Inclusion into Index
CNX 100,10-12-2004,Biocon Ltd.,Inclusion into Index
CNX 100,10-12-2004,Bosch Ltd.,Exclusion from Index
CNX 100,10-12-2004,Britannia Industries Ltd.,Exclusion from Index
CNX 100,10-12-2004,Container Corporation of India Ltd.,Exclusion from Index
CNX 100,10-12-2004,Gillette India Ltd.,Exclusion from Index
CNX 100,10-12-2004,Jaiprakash Associates Ltd.,Inclusion into Index
CNX 100,10-12-2004,Larsen & Toubro Ltd.,Inclusion into Index
CNX 100,10-12-2004,Lupin Ltd.,Inclusion into Index
CNX 100,10-12-2004,Mangalore Refinery & Petrochemicals Ltd.,Exclusion from Index
CNX 100,10-12-2004,Patni Computer Systems Ltd.,Inclusion into Index
CNX 100,21-02-2005,JSW Steel Ltd.,Exclusion from Index
CNX 100,21-02-2005,Sterlite Industries (India) Ltd.,Inclusion into Index
CNX 100,25-02-2005,Indian Hotels Co. Ltd.,Exclusion from Index
CNX 100,25-02-2005,Tata Consultancy Services Ltd.,Inclusion into Index
CNX 100,26-09-2005,Colgate Palmolive (India) Ltd.,Exclusion from Index
CNX 100,26-09-2005,Jet Airways (India) Ltd.,Inclusion into Index
