symbol,date,return,corrected
DCMSRMCONS,07-Oct-2005,-2.2539,0
CUMMINSIND,20-Sep-2011,-0.3528,0
CADILAHC,30-Aug-2006,-0.6746,0
CADILAHC,05-Apr-2010,-0.4081,0
NAGARCONST,24-Aug-2005,-1.5534,0
NAGARCONST,20-Sep-2006,-0.6811,0
MATRIXLABS,13-Jan-2005,-2.3195,0
SINTEX,10-Oct-2005,-1.6527,0
SINTEX,27-Oct-2010,-0.6997,0
NAVNETPUBL,08-Sep-2009,-0.8327,0
JMFINANCIL,08-Sep-2008,-3.0359,0
BAJAJHLDNG,14-Mar-2008,-0.9930,0
PARSVNATH,18-Oct-2010,-0.7056,0
VLSFINANCE,04-Mar-2004,-0.4347,0
TCS,28-Jul-2006,-0.7159,0
TCS,16-Jun-2009,-0.6928,0
TORNTPHARM,20-Feb-2006,-1.4029,0
PROVOGUE,03-Oct-2008,-1.5874,0
RELIANCE,18-Jan-2006,-0.2915,0
RELIANCE,26-Nov-2009,-0.7242,0
TATAPOWER,26-Sep-2011,-2.3247,0
SOUTHBANK,23-Sep-2010,-2.3028,0
AIAENG,13-Oct-2008,-1.6036,0
SHANTIGEAR,27-Jul-2004,-2.8120,0
ROLTA,24-Jan-2008,-0.6757,0
NATIONALUM,15-Mar-2011,-1.4816,0
ANSALINFRA,10-May-2006,-0.6443,0
ANSALINFRA,23-Apr-2007,-0.6444,0
ORCHIDCHEM,15-Sep-2005,-0.3804,0
SOUNDCRAFT,23-Feb-2004,-0.9102,0
SIMPLEXINF,13-Sep-2006,-1.5566,0
TULIP,06-Jul-2010,-1.6270,0
RANBAXY,25-Jul-2005,-0.7231,0
BLUESTARCO,20-Sep-2006,-1.6523,0
VOLTAS,22-Sep-2006,-2.2711,0
NIRMA,14-Mar-2007,-0.6474,0
ZENSARTECH,21-Jul-2010,-0.6949,0
GAEL,06-Jan-2006,-1.5921,0
UNICHEMLAB,17-Mar-2004,-1.5048,0
UNICHEMLAB,21-Oct-2010,-0.8755,0
ELECTCAST,17-Sep-2007,-2.2249,0
BAJAJHIND,29-Apr-2004,-2.2713,0
AJANTPHARM,09-Aug-2012,-0.6627,0
DRREDDY,28-Aug-2006,-0.7035,0
ASAHIINDIA,01-Sep-2005,-0.7009,0
INDNIPPON,20-Sep-2011,-0.3515,0
PUNJLLOYD,29-Mar-2007,-1.6252,0
HDFCBANK,14-Jul-2011,-1.6055,0
EIHOTEL,12-Sep-2006,-1.9051,0
MOTILALOFS,25-Jul-2008,-1.6117,0
JINDALPOLY,22-Oct-2010,-0.6623,0
VYSYABANK,21-Feb-2005,-1.0933,0
AMTEKAUTO,05-Oct-2004,-1.5210,0
GUJNRECOKE,09-Feb-2005,-0.6614,0
GUJNRECOKE,28-Sep-2006,-0.6201,0
JPASSOCIAT,17-Dec-2007,-1.6857,0
JPASSOCIAT,17-Dec-2009,-0.3746,0
PIDILITIND,20-Sep-2005,-2.2370,0
PIDILITIND,15-Mar-2010,-0.7475,0
APOLLOTYRE,17-Aug-2007,-2.2392,0
ALLCARGO,19-Nov-2009,-1.6417,0
BRITANNIA,08-Sep-2010,-1.4812,0
CONCOR,16-Apr-2008,-0.6586,0
EDUCOMP,27-Oct-2009,-1.6279,0
MIRZAINT,24-Apr-2007,-1.5603,0
ALEMBICLTD,25-Mar-2004,-1.1639,0
ALEMBICLTD,26-Sep-2006,-1.6804,0
MVL,18-Sep-2009,-1.6182,0
MVL,16-Nov-2010,-0.6130,0
HDIL,21-Aug-2008,-0.2864,0
RALLIS,15-Jul-2011,-2.2824,0
GMDCLTD,08-Nov-2007,-1.5706,0
GMDCLTD,16-Oct-2008,-0.6586,0
VISHALEXPO,25-Feb-2005,-1.4269,0
VISHALEXPO,25-Aug-2005,-0.9979,0
ABB,28-Jun-2007,-1.5262,0
JAYSREETEA,13-Aug-2010,-0.6658,0
PDUMJEPULP,23-Mar-2009,-1.5588,0
JINDALSTEL,14-Sep-2009,-1.7687,0
ERAINFRA,17-Sep-2008,-1.6153,0
HIMATSEIDE,14-Oct-2005,-1.3854,0
BLKASHYAP,22-Oct-2007,-0.6795,0
BLKASHYAP,29-Sep-2010,-2.2555,0
FEDERALBNK,29-Nov-2004,-1.0524,0
SUJANATOW,10-Jan-2011,-1.6598,0
MOTHERSUMI,16-Mar-2004,-1.6741,0
MOTHERSUMI,24-Feb-2005,-0.3839,0
MOTHERSUMI,30-Aug-2007,-0.3860,0
MOTHERSUMI,03-Oct-2012,-0.3817,0
PHOENIXLTD,13-Feb-2008,-1.5643,0
INFOSYSTCH,01-Jul-2004,-1.3664,0
INFOSYSTCH,13-Jul-2006,-0.6996,0
GAMMNINFRA,26-Oct-2009,-1.5733,0
IPCALAB,28-Jan-2005,-0.7103,0
IPCALAB,22-Mar-2010,-1.5829,0
HINDSANIT,09-Feb-2004,-0.6850,0
HINDSANIT,05-Jan-2005,-0.5375,0
HINDSANIT,30-Dec-2005,-0.9124,0
ADANIEXPO,29-Jul-2004,-2.2843,0
ITC,21-Sep-2005,-2.6220,0
ITC,03-Aug-2010,-0.7060,0
KTKBANK,13-Jan-2005,-0.7235,0
