"Name","Symbol","Auto"
"Reliance Natural Resources Ltd.","RNRL",0
"Wire & Wireless (I) Ltd.","WWIL",0
"Reliance Petroleum Ltd.","RPL",0
"3M India Ltd.","3MINDIA",1
"ABB Ltd.","ABB",1
"ACC Ltd.","ACC",1
"AGC Networks Ltd.","AGCNET",1
"Aban Offshore Ltd.","ABAN",1
"Abbott India Ltd.","BOOTSPHARM",1
"Adani Enterprises Ltd.","ADANIENT",1
"Aditya Birla Nuvo Ltd.","ABIRLANUVO",1
"Ador Welding Ltd.","ADORWELD",1
"Agro Tech Foods Ltd.","ATFL",1
"Ahmednagar Forgings Ltd.","AHMEDFORGE",1
"Akzo Nobel India Ltd.","AKZOINDIA",1
"Alembic Ltd.","ALEMBICLTD",1
"Alfa Laval (India) Ltd.","ALFALAVAL",1
"Alpic Finance Ltd.","ALPICFIN",1
"Ambuja Cements Ltd.","AMBUJACEM",1
"Apollo Hospitals Enterprises Ltd.","APOLLOHOSP",1
"Apollo Tyres Ltd.","APOLLOTYRE",1
"Apple Finance Ltd.","APPLEIND",1
"Arvind Ltd.","ARVIND",1
"Ashok Leyland Ltd.","ASHOKLEY",1
"Asian Electronics Ltd.","ASIANELEC",1
"Asian Hotels (North) Ltd.","ASIANHOTNR",1
"Asian Paints Ltd.","ASIANPAINT",1
"Assam Company India Ltd.","ASSAMCO",1
"AstraZenca Pharma India Ltd.","ASTRAZEN",1
"Atcom Technologies Ltd.","ATCOM",1
"Atul Ltd.","ATUL",1
"Automotive Axles Ltd.","AUTOAXLES",1
"Autoriders Finance Ltd.","AUTORIDFIN",1
"Aventis Pharma Ltd.","SANOFI",1
"BASF India Ltd.","BASF",1
"BEML Ltd.","BEML",1
"BIL Industries Ltd.","BHUPENIND",1
"BOC India Ltd.","BOC",1
"BPL Engineering Ltd.","BPLENGG",1
"BPL Ltd.","BPL",1
"Bajaj Auto Ltd.","BAJAJ-AUTO",1
"Bajaj Finance Ltd.","BAJFINANCE",1
"Bajaj Hindusthan Ltd.","BAJAJHIND",1
"Ballarpur Industries Ltd.","BALLARPUR",1
"Balrampur Chini Mills Ltd.","BALRAMCHIN",1
"Bank of Baroda","BANKBARODA",1
"Bank of India","BANKINDIA",1
"Bannari Amman Sugars Ltd.","BANARISUG",1
"Bata India Ltd.","BATAINDIA",1
"Bayer Cropscience Ltd.","BAYERCROP",1
"Berger Paints India Ltd.","BERGEPAINT",1
"Bharat Bijlee Ltd.","BBL",1
"Bharat Electronics Ltd.","BEL",1
"Bharat Forge Ltd.","BHARATFORG",1
"Bharat Heavy Electricals Ltd.","BHEL",1
"Bharat Petroleum Corporation Ltd.","BPCL",1
"Binani Industries Ltd.","BINANIZINC",1
"Birla Corporation Ltd.","BIRLACORPN",1
"Birla Power Solutions Ltd.","BIRLAPOWER",1
"Blue Star Ltd.","BLUESTARCO",1
"Bombay Burmah Trading Corporation Ltd.","BBTC",1
"Bombay Dyeing & Manufacturing Co. Ltd.","BOMDYEING",1
"Bosch Ltd.","BOSCHLTD",1
"Brabourne Enterprises Ltd.","BRABOURNE",1
"Britannia Industries Ltd.","BRITANNIA",1
"CESC Ltd.","CESC",1
"CFL Capital Financial Services Ltd.","CEATFIN",1
"CRISIL Ltd.","CRISIL",1
"Cabot India Ltd.","UNITEDCARB",1
"Cadbury India Ltd.","CADBURY",1
"Carborundum Universal Ltd.","CARBORUNIV",1
"Castrol (India) Ltd.","CASTROL",1
"Ceat Ltd.","CEATLTD",1
"Century Enka Ltd.","CENTENKA",1
"Century Textile & Industries Ltd.","CENTURYTEX",1
"Chambal Fertilizers & Chemicals Ltd.","CHAMBLFERT",1
"Chemplast Sanmar Ltd.","CHEMPLAST",1
"Chennai Petroleum Corporation Ltd.","CHENNPETRO",1
"Cipla Ltd.","CIPLA",1
"Clariant Chemicals (India) Ltd.","CLNINDIA",1
"Colgate Palmolive (India) Ltd.","COLPAL",1
"Core Healthcare Ltd.","COREPARENT",1
"Cosmo Films Ltd.","COSMOFILMS",1
"Crompton Greaves Ltd.","CROMPGREAV",1
"Cummins India Ltd.","CUMMINSIND",1
"DCW Ltd.","DCW",1
"DIC India Ltd.","DICIND",1
"Dabur India Ltd.","DABUR",1
"Daewoo Motors India Ltd.","DCMDAEWOO",1
"Dalmia Bharat Sugar and Industries Ltd.","DALMIASUG",1
"Deepak Fertilisers & Petrochemicals Corp. Ltd.","DEEPAKFERT",1
"Denso India Ltd.","NIPPONDENS",1
"Digital Globalsoft Ltd.","DIGITALEQP",1
"Digjam Ltd.","DIGJAM",1
"Dr. Reddy's Laboratories Ltd.","DRREDDY",1
"E.I.D. Parry (India) Ltd.","EIDPARRY",1
"EIH Ltd.","EIHOTEL",1
"ESAB India Ltd.","ESABINDIA",1
"Electrosteel Castings Ltd.","ELECTCAST",1
"Elgi Equipments Ltd.","ELGIEQUIP",1
"Escorts Ltd.","ESCORTS",1
"Eskay K'n'IT (India) Ltd.","SHREEKRPET",1
"Essar Oil Ltd.","ESSAROIL",1
"Essar Shipping Ports & Logistics Ltd.","ESSARSHIP",1
"Essar Steel Ltd.","ESTL",1
"Essel Propack Ltd.","ESSELPACK",1
"Everest Industries Ltd.","EVERESTIND",1
"Exide Industries Ltd.","EXIDEIND",1
"FDC Ltd.","FDC",1
"FGP Ltd.","FGPIND",1
"Fag Bearings India Ltd.","FAGBEARING",1
"Federal Bank Ltd.","FEDERALBNK",1
"Federal-Mogul Goetze (India) Ltd.","FMGOETZE",1
"Finolex Cables Ltd.","FINCABLES",1
"Finolex Industries Ltd.","FINPIPE",1
"Foseco India Ltd.","FOSECOIND",1
"GAIL (India) Ltd.","GAIL",1
"GHCL Ltd.","GHCL",1
"GTL Ltd.","GTL",1
"GTN Industries Ltd.","GTNIND",1
"Garden Silk Mills Ltd.","GARDENSILK",1
"Gillette India Ltd.","GILLETTE",1
"GlaxoSmithkline Consumer Healthcare Ltd.","GSKCONS",1
"Glaxosmithkline Pharmaceuticals Ltd.","GLAXO",1
