Name,Symbol,Auto
HeidelbergCement India Ltd.,01/08/1998,0
Herbertsons Ltd.,01/08/1998,0
Hero Honda Motors Ltd.,HEROHONDA,1
Himachal Futuristic Communications Ltd.,01/08/1998,0
Himatsingka Seide Ltd.,HIMATSEIDE,1
Hind Lever Chemicals Ltd.,01/08/1998,0
Hind Syntex Ltd.,01/08/1998,0
Hindalco Industries Ltd.,HINDALCO,1
Hindustan Construction Co. Ltd.,01/08/1998,0
Hindustan Development Corporation Ltd.,01/08/1998,0
Hindustan Motors Ltd.- SUSPENDED,01/08/1998,0
Hindustan Oil Exploration Co. Ltd.,01/08/1998,0
Hindustan Organic Chemicals Ltd.,01/08/1998,0
Hindustan Petroleum Corporation Ltd.,01/08/1998,0
Hindustan Powerplus Ltd.,01/08/1998,0
Hindustan Unilever Ltd.,HINDUNILVR,1
Hindustan Zinc Ltd.,HINDZINC,1
Hitech Drilling Services India Ltd.,01/08/1998,0
Hoganas India Ltd.- Sus,01/08/1998,0
Honda SIEL Power Products Ltd.,HONDAPOWER,1
Honeywell Automation India Ltd.,01/08/1998,0
Hotel Leelaventure Ltd.,01/08/1998,0
Housing Development Finance Corporation Ltd.,01/08/1998,0
Hyderabad Industries Ltd.,01/08/1998,0
I G Petrochemicals Ltd.,01/08/1998,0
I T C Bhadrachalam Paper Boards Ltd.,01/08/1998,0
I T C Ltd.,ITC,1
IBP Co. Ltd.,01/08/1998,0
ICICI Ltd.,01/08/1998,0
IDBI Bank Ltd.,IDBI,1
IDI Ltd.,01/08/1998,0
IFB Industries Ltd.,01/08/1998,0
IFCI Ltd.,IFCI,1
INEOS ABS (India) Ltd.,01/08/1998,0
IP Rings Ltd.,01/08/1998,0
ISMT Ltd.,01/08/1998,0
ITC Hotels Ltd.,01/08/1998,0
ITD Cementation India Ltd.,01/08/1998,0
ITI Ltd.,01/08/1998,0
ITW Signode India Ltd.- Sus,01/08/1998,0
India Cements Ltd.,01/08/1998,0
India Glycols Ltd.,INDIAGLYCO,1
India Gypsum Ltd.,01/08/1998,0
India Securities Ltd.,01/08/1998,0
Indian Aluminium Co. Ltd.,01/08/1998,0
Indian Card Clothing Co. Ltd.,01/08/1998,0
Indian Hotels Co. Ltd.,01/08/1998,0
Indian Organic Chemicals Ltd.,01/08/1998,0
Indian Petrochemicals Corporation Ltd.,01/08/1998,0
Indo Gulf Corporation Ltd.,01/08/1998,0
Indo Rama Synthetics (India) Ltd. - Old,01/08/1998,0
Industrial Oxygen Co. Ltd. -Sus,01/08/1998,0
Infomedia 18 Ltd.,01/08/1998,0
Infosys Technologies Ltd.,INFOSYSTCH,1
Ingersoll Rand (India) Ltd.,01/08/1998,0
International Travel House Ltd.,01/08/1998,0
Ion Exchange (India) Ltd.,01/08/1998,0
Ipca Laboratories Ltd.,IPCALAB,1
Ispat Alloys Ltd.,01/08/1998,0
Ispat Industries Ltd.,ISPATIND,1
J.B. Chemicals & Pharmaceuticals Ltd.,01/08/1998,0
JBF Industries Ltd.,JBFIND,1
JCT Electronics Ltd.,01/08/1998,0
JCT Ltd.,01/08/1998,0
JD Orgochem Ltd.,01/08/1998,0
JK Lakshmi Cement Ltd.,01/08/1998,0
JK Tyre & Industries Ltd..,01/08/1998,0
Jagatjit Industries Ltd. -Sus,01/08/1998,0
Jain Irrigation Systems Ltd. (Old),01/08/1998,0
Jaiprakash Industries Ltd.- Suspended,01/08/1998,0
Jay Shree Tea & Industries Ltd.,JAYSREETEA,1
Jindal Iron & Steel Co. Ltd.,01/08/1998,0
Jindal Photo Ltd.,01/08/1998,0
Jindal Saw Ltd.,JINDALSAW,1
Jindal Strips Ltd.- Merged,01/08/1998,0
Jyoti Structures Ltd.,JYOTISTRUC,1
KSB Pumps Ltd.,KSBPUMPS,1
Kajaria Ceramics Ltd.,KAJARIACER,1
Kalyani Steels Ltd.,01/08/1998,0
Kansai Nerolac Paints Ltd.,KANSAINER,1
Kerala Chemicals & Proteins Ltd.,01/08/1998,0
Kesoram Industries Ltd.,KESORAMIND,1
Kinetic Engineering Ltd.,01/08/1998,0
Kinetic Motor Co. Ltd.,01/08/1998,0
Kirloskar Industries Ltd.,01/08/1998,0
Kitply Industries Ltd.,01/08/1998,0
Kochi Refineries Ltd.,01/08/1998,0
Kodak India Ltd. - Delisted,01/08/1998,0
Kopran Ltd.,01/08/1998,0
Kotak Mahindra Bank Ltd.,KOTAKBANK,1
Krishna Filaments Ltd.,01/08/1998,0
Krishna Lifestyle Technologies Ltd.,01/08/1998,0
LIC Housing Finance Ltd.,LICHSGFIN,1
LML Ltd.,01/08/1998,0
Lakshmi Machine Works Ltd.,01/08/1998,0
Larsen & Toubro Ltd.-Sus,01/08/1998,0
Lloyds Finance Ltd.,01/08/1998,0
Lloyds Metals & Engineers Ltd.,01/08/1998,0
Lloyds Steel Industries Ltd.,01/08/1998,0
Lok Housing & Constructions Ltd.,01/08/1998,0
Lumax Industries Ltd.,LUMAXIND,1
Lupin Chemicals Ltd.  (Erstwhile),01/08/1998,0
Lupin Laboratories Ltd.  (Erstwhile),01/08/1998,0
MRF Ltd.,MRF,1
Madras Cements Ltd.,MADRASCEM,1
Madura Coats Ltd.,01/08/1998,0
Mafatlal Industries Ltd.,01/08/1998,0
Mahanagar Telephone Nigam Ltd.,MTNL,1
Maharashtra Scooters Ltd.,01/08/1998,0
Maharashtra Seamless Ltd.,MAHSEAMLES,1
Mahindra & Mahindra Ltd.,M&M,1
Mahindra Ugine Steel Co. Ltd.,01/08/1998,0
Mangalam Cement Ltd.,01/08/1998,0
Maral Overseas Ltd.,01/08/1998,0
Mardia Chemicals Ltd.,01/08/1998,0
Marico Ltd.,MARICO,1
Mastek Ltd.,MASTEK,1
Max India Ltd.,MAX,1
McDowell & Co. Ltd. (Old),01/08/1998,0
Merck Ltd.,MERCK,1
Merind Ltd.-Merged,01/08/1998,0
Micro Inks Ltd.,MICRO,1
Mirc Electronics Ltd.,MIRCELECTR,1
Modern Denim Ltd.,01/08/1998,0
Modern Syntex (India) Ltd.,01/08/1998,0
Modern Terry Towels Ltd.,01/08/1998,0
Modern Threads (India) Ltd.,01/08/1998,0
Modi Rubber Ltd.,01/08/1998,0
Modi Xerox Ltd.- Sus,01/08/1998,0
Modiluft Ltd.,01/08/1998,0
Morepen Laboratories Ltd.,01/08/1998,0
Mukand Ltd.- Old,01/08/1998,0
Munjal Showa Ltd.,MUNJALSHOW,1
NEPC Agro Foods Ltd.,01/08/1998,0
NEPC India Ltd,01/08/1998,0
NIIT Ltd.-Sus,01/08/1998,0
NOCIL Ltd.,01/08/1998,0
Nagarjuna Fertilizers & Chemicals Ltd.,01/08/1998,0
Nahar Industrial Enterprises Ltd.,01/08/1998,0
Nahar Investments and Holding Ltd.,01/08/1998,0
Nahar Spinning Mills Ltd.,01/08/1998,0
National Aluminium Co. Ltd. (Old),01/08/1998,0
National Peroxide Ltd.,01/08/1998,0
Navneet Publications (India) Ltd.,01/08/1998,0
Nestle India Ltd.,01/08/1998,0
Nirma Ltd.,NIRMA,1
Novartis India Ltd.,01/08/1998,0
OTIS Elevator Company (India) Ltd.,01/08/1998,0
Oil Country Tubular Ltd.,01/08/1998,0
Orchid Chemicals & Pharmaceuticals Ltd.,01/08/1998,0
Orient Paper & Industries Ltd.,01/08/1998,0
Oriental Bank of Commerce,ORIENTBANK,1
Oriental Hotels Ltd.,01/08/1998,0
Orkay Industries Ltd.,01/08/1998,0
Oswal Agro Mills Ltd.,01/08/1998,0
Oswal Chemicals & Fertilizers Ltd.,01/08/1998,0
Oudh Sugar Mills Ltd.,01/08/1998,0
PHIL Corporation Ltd.,01/08/1998,0
Parekh Platinum Ltd.,01/08/1998,0
Parke-Davis (India) Ltd.,01/08/1998,0
